test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.8080933941891412,0.8082408874801902,0.894062688366486,0.9311724689875951,64,22_headline_isobama,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False
0.8001060880616981,0.8003169572107766,0.8944444444444445,0.9307723089235694,128,22_headline_isobama,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False
0.8001060880616981,0.8003169572107766,0.8992666264818163,0.9391756702681072,256,22_headline_isobama,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False
0.8000628538698701,0.8003169572107766,0.8979405264215391,0.9375750300120048,512,22_headline_isobama,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False
0.511628735025959,0.5454545454545454,0.5923592981604031,0.5596238495398159,1,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.5605878407503444,0.5674931129476584,0.5963815190334526,0.5918367346938775,2,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.5271128068826352,0.5509641873278237,0.5887924230465666,0.5514205682272909,4,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.5449086486635895,0.5537190082644629,0.5903709550118389,0.5378151260504203,8,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.5449086486635895,0.5537190082644629,0.5903709550118389,0.5378151260504203,16,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.5449086486635895,0.5537190082644629,0.5903709550118389,0.5378151260504203,32,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.6776370233983413,0.6776859504132231,0.7480116568514359,0.6518607442977191,64,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.6803049125827472,0.6804407713498623,0.7533847368101512,0.7799119647859144,128,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.7381807347018856,0.7382920110192838,0.7729038916884221,0.7759103641456584,256,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.7464756612866931,0.7465564738292011,0.8108493716228522,0.8387354941976791,512,24_headline_isiran,16,layer_16/width_16k/batch_topk_32,l1,False
0.6419754181351788,0.6420125786163522,0.6969309566508258,0.6638655462184875,1,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.6917376287006354,0.6918238993710691,0.7614919512039525,0.7198879551820728,2,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.7477727838488971,0.7479245283018868,0.8229145886896618,0.7563025210084034,4,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.7901245239272044,0.790188679245283,0.8746988726521181,0.8779511804721888,8,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.8447694997459729,0.8447798742138365,0.9175713566755338,0.9351740696278511,16,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.8747155380402157,0.8747169811320755,0.9485035527710804,0.9595838335334133,32,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.9127020820328855,0.9127044025157233,0.9736309148296928,0.9899959983993598,64,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.9376085624006785,0.9376100628930818,0.9823890499514449,0.9915966386554622,128,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.9454042025909443,0.9454088050314465,0.9846125064427835,0.9911964785914364,256,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.9587376414795616,0.9587421383647798,0.9903988601969138,0.985594237695078,512,57_wikidatais_alive,7,layer_7/width_16k/standard,l1,False
0.6725279646556772,0.672718585762064,0.7099415428950238,0.8447018447018447,1,66_living-room,32,layer_32/width_16k/gated,l1,False
0.4231430928240229,0.5398948877209747,0.7754026344960836,0.8753753753753755,2,66_living-room,32,layer_32/width_16k/gated,l1,False
0.3441297855730416,0.5050167224080268,0.8136951428190532,0.9064779064779065,4,66_living-room,32,layer_32/width_16k/gated,l1,False
0.7915643939478361,0.7926421404682275,0.8842682635080472,0.9330759330759331,8,66_living-room,32,layer_32/width_16k/gated,l1,False
0.869033440495187,0.8690874343048256,0.9405521740162643,0.9742599742599742,16,66_living-room,32,layer_32/width_16k/gated,l1,False
0.9106530943324928,0.9106545628284759,0.9606222641033929,0.9858429858429858,32,66_living-room,32,layer_32/width_16k/gated,l1,False
0.9292758979111003,0.9292881032011466,0.9744065261577739,0.9897039897039898,64,66_living-room,32,layer_32/width_16k/gated,l1,False
0.9493522180329786,0.9493549928332538,0.9854943834793393,0.9931359931359931,128,66_living-room,32,layer_32/width_16k/gated,l1,False
0.9636853353206966,0.9636884854276159,0.9910478997627749,0.9982839982839984,256,66_living-room,32,layer_32/width_16k/gated,l1,False
0.9799305814593068,0.979933110367893,0.9967347296564344,0.9965679965679966,512,66_living-room,32,layer_32/width_16k/gated,l1,False
0.5331574109290095,0.5519496855345912,0.58015594827141,0.6456582633053222,1,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.4854398544706507,0.549685534591195,0.58015594827141,0.6456582633053222,2,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.4566695869683092,0.5413836477987422,0.58015594827141,0.6456582633053222,4,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.4566695869683092,0.5413836477987422,0.58015594827141,0.6456582633053222,8,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.6432296615491648,0.6432704402515723,0.6956826515205983,0.6626650660264106,16,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.7152064995202118,0.7152201257861636,0.773677799054012,0.7939175670268106,32,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.7164760135995402,0.7164779874213837,0.7854917628569604,0.7899159663865546,64,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.7292970400445824,0.7293081761006289,0.7982249308634899,0.8279311724689876,128,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.7391185722484173,0.739119496855346,0.8100705389863083,0.8327330932372949,256,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.7514309351668976,0.7514465408805031,0.8186056449416174,0.8611444577831132,512,56_wikidatasex_or_gender,7,layer_7/width_16k/batch_topk_32,l1,False
0.3318510713031261,0.49743589743589745,0.6628824856094523,0.6344349245206038,1,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
