test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.8246039603960396,0.8247248094834886,0.8933510830887873,0.9146005509641872,16,21_headline_istrump,24,layer_24/width_16k/standard_new,l1,False,275
0.8431393742045746,0.8431414055884844,0.917020550474239,0.9132231404958677,128,21_headline_istrump,24,layer_24/width_16k/standard_new,l1,False,275
0.4971927603670315,0.5009019843656043,0.5079818016144558,1.0,16,5_hist_fig_ismale,24,layer_24/width_16k/standard_new,l1,False,10
0.5308126292163183,0.5604329524954901,0.5652943416905984,1.0,128,5_hist_fig_ismale,24,layer_24/width_16k/standard_new,l1,False,10
0.5600473157771405,0.5676298157453936,0.6085259491202524,0.71875,16,52_virtue_is,24,layer_24/width_16k/gated,l1,False,53
0.641042435996202,0.6415410385259631,0.6985750570271794,0.86875,128,52_virtue_is,24,layer_24/width_16k/gated,l1,False,53
0.36202029406520075,0.49969764160451524,0.4836353057430016,0.6805555555555555,16,54_cs_tf,24,layer_24/width_16k/standard_new,l1,False,38
0.49969447041879933,0.49969764160451524,0.5005683517312218,0.9814814814814815,128,54_cs_tf,24,layer_24/width_16k/standard_new,l1,False,38
0.6862326005064507,0.6872617853560682,0.7231731190833531,0.8333333333333334,16,5_hist_fig_ismale,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,14
0.3334447847420303,0.5001003009027081,0.5,0.5,128,5_hist_fig_ismale,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,14
0.8582608343997818,0.8588060965283658,0.9335029442320225,0.9669421487603305,16,6_hist_fig_isamerican,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,275
0.8818424034654885,0.8818797629127858,0.9474967395847746,0.9834710743801653,128,6_hist_fig_isamerican,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,275
0.5335633786922935,0.5335667215815486,0.5579340695727224,0.6615384615384615,16,54_cs_tf,24,layer_24/width_16k/topk_32,l1,False,143
0.5216909033058696,0.5224464579901154,0.5256654414857959,0.6,128,54_cs_tf,24,layer_24/width_16k/topk_32,l1,False,143
0.37632646220881516,0.517948717948718,0.7361270071027031,0.7454100367197063,16,61_wikidata_occupation_isactor,24,layer_24/width_16k/p_anneal,l1,False,1024
0.8205022464601808,0.8205128205128205,0.8939012690611641,0.9428804569563443,128,61_wikidata_occupation_isactor,24,layer_24/width_16k/p_anneal,l1,False,1024
0.5518257338826604,0.5518565941101152,0.5897304741294511,1.0,16,41_truthqa_tf,24,layer_24/width_16k/topk_32,l1,False,4
0.5672073199359369,0.5672215108834827,0.589376352547708,0.625,128,41_truthqa_tf,24,layer_24/width_16k/topk_32,l1,False,4
0.7829039357825752,0.7832594235033259,0.8672253332087847,0.8729166666666667,16,23_headline_ischina,24,layer_24/width_16k/topk_32,l1,False,53
0.7797273046824412,0.7804878048780488,0.8506755129030831,0.8916666666666666,128,23_headline_ischina,24,layer_24/width_16k/topk_32,l1,False,53
0.6259617608123733,0.6265060240963856,0.6622844116930223,0.875,16,41_truthqa_tf,24,layer_24/width_16k/batch_topk_32,l1,False,38
0.6461589671179557,0.6519410977242303,0.6953592063196227,0.8194444444444446,128,41_truthqa_tf,24,layer_24/width_16k/batch_topk_32,l1,False,38
0.5640045359262258,0.5658978583196046,0.5776322672880101,0.5538461538461539,16,7_hist_fig_ispolitician,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.5943104249092896,0.5959637561779242,0.6321394718129238,0.5333333333333333,128,7_hist_fig_ispolitician,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.658990211943918,0.6590909090909091,0.6988620999896755,0.9833333333333334,16,23_headline_ischina,24,layer_24/width_16k/jumprelu_32,l1,False,53
0.8379699863305786,0.8381374722838137,0.9022546595149483,0.9833333333333334,128,23_headline_ischina,24,layer_24/width_16k/jumprelu_32,l1,False,53
0.6006091482503232,0.6009153318077803,0.6287019628739665,0.9074074074074074,16,42_temp_sense,24,layer_24/width_16k/standard_new,l1,False,38
0.6392830096378311,0.6407322654462243,0.6946452449654645,0.8518518518518517,128,42_temp_sense,24,layer_24/width_16k/standard_new,l1,False,38
0.33322158001386587,0.499899416616375,0.5,0.5,16,56_wikidatasex_or_gender,24,layer_24/width_16k/p_anneal,l1,False,28
0.5522870269263486,0.5526051096358882,0.5752134690686355,0.763888888888889,128,56_wikidatasex_or_gender,24,layer_24/width_16k/p_anneal,l1,False,28
0.726274901437034,0.7264995523724261,0.7949505044927061,0.8527410964385754,16,36_sciq_tf,24,layer_24/width_16k/standard_new,l1,False,531
0.8039366083901792,0.8039391226499553,0.8798125975303139,0.9243697478991597,128,36_sciq_tf,24,layer_24/width_16k/standard_new,l1,False,531
0.4885598690778138,0.4916515791591229,0.47492784543139777,0.5902777777777778,16,54_cs_tf,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,28
0.33322158001386587,0.499899416616375,0.5,0.5,128,54_cs_tf,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,28
0.6655504867158135,0.6699446834665027,0.7492678857992512,0.9027777777777778,16,22_headline_isobama,24,layer_24/width_16k/gated,l1,False,28
0.6809939528587895,0.6926859250153657,0.7989005442879982,1.0,128,22_headline_isobama,24,layer_24/width_16k/gated,l1,False,28
0.7125069352840385,0.7133501259445844,0.7855000121820486,1.0,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False,14
0.5346423140331499,0.5682619647355164,0.7247049913913524,1.0,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False,14
0.677526081570244,0.679052018477606,0.7428790291741494,0.875,16,57_wikidatais_alive,24,layer_24/width_16k/topk_32,l1,False,20
0.7428315074396292,0.7429202651134766,0.8207394463349581,0.9166666666666666,128,57_wikidatais_alive,24,layer_24/width_16k/topk_32,l1,False,20
0.759047154272473,0.7603305785123967,0.8351344787808875,0.8367346938775511,16,24_headline_isiran,24,layer_24/width_16k/standard_new,l1,False,1024
0.8841375065939863,0.8842975206611571,0.9520369133628803,0.936374549819928,128,24_headline_isiran,24,layer_24/width_16k/standard_new,l1,False,1024
0.5459504081825151,0.5459558823529411,0.5724859762804905,0.6493055555555555,16,50_deon_isvalid,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,103
0.6193959814465906,0.6194852941176471,0.6692050867187833,0.7055041152263376,128,50_deon_isvalid,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,103
0.7379943982666334,0.7385103011093502,0.8259673850527801,0.8489583333333333,16,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/topk_32,l1,False,737
0.8224678456591639,0.8225039619651348,0.8862947400674601,0.8758012820512822,128,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/topk_32,l1,False,737
0.5234058424122161,0.5381840048105833,0.5724462557834193,1.0,16,56_wikidatasex_or_gender,24,layer_24/width_16k/jumprelu_32,l1,False,10
0.5523150393956127,0.5738624974944879,0.6383704056067226,1.0,128,56_wikidatasex_or_gender,24,layer_24/width_16k/jumprelu_32,l1,False,10
0.7758202778598876,0.7763713080168776,0.8420692463814561,0.90869341563786,16,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False,103
